,cos_sim,cos_mo,cos_dif,cos_mo_dif,ele_sub
516,0.00493,0.00483,0.99507,0.99517,0.03422
517,-0.02545,-0.02095,0.97455,0.97905,0.01346
518,0.00528,0.00434,0.99472,0.99566,0.01089
519,0.03579,0.03349,0.96421,0.96651,0.04983
520,0.01467,0.01398,0.98533,0.98602,0.02121
521,-0.00284,-0.00232,0.99716,0.99768,0.01261
522,-0.01492,-0.01238,0.98508,0.98762,0.01173
523,0.00448,0.00439,0.99552,0.99561,0.03445
524,-0.02531,-0.02088,0.9746900000000001,0.97912,0.01347
525,-0.00221,-0.00211,0.99779,0.99789,0.02031
526,0.00897,0.00739,0.99103,0.99261,0.01144
527,-0.03313,-0.02721,0.96687,0.97279,0.01366
528,0.00612,0.00505,0.99388,0.99495,0.01142
529,-0.02503,-0.02081,0.97497,0.97919,0.0114
530,-0.00378,-0.00358,0.99622,0.99642,0.03276
531,-0.03404,-0.03264,0.96596,0.96736,0.03467
532,-0.04694,-0.03869,0.95306,0.96131,0.0128
533,-0.04904,-0.04056,0.95096,0.95944,0.0125
534,-0.02868,-0.02355,0.97132,0.97645,0.0121
535,0.00109,0.00104,0.99891,0.99896,0.02028
536,0.00943,0.00776,0.99057,0.99224,0.01138
537,-0.02889,-0.02369,0.97111,0.97631,0.01357
538,0.00722,0.00594,0.99278,0.99406,0.01138
539,-0.02352,-0.01949,0.97648,0.98051,0.01137
540,-0.00263,-0.00247,0.99737,0.99753,0.03269
541,-0.02983,-0.02843,0.97017,0.97157,0.03464
542,-0.04476,-0.03674,0.95524,0.96326,0.01275
543,-0.04537,-0.03744,0.95463,0.96256,0.01241
544,-0.02347,-0.01923,0.97653,0.98077,0.01204
545,-0.00527,-0.00476,0.99473,0.99524,0.00933
546,0.00157,0.00138,0.99843,0.99862,0.00955
547,0.0485,0.0468,0.9515,0.9532,0.02379
548,0.01189,0.01059,0.98811,0.98941,0.0086
549,0.00074,0.00065,0.99926,0.99935,0.01837
550,-0.06243,-0.05527,0.93757,0.94473,0.01099
551,-0.03839,-0.03403,0.96161,0.96597,0.00955
552,-0.02737,-0.02432,0.97263,0.97568,0.01037
553,0.01205,0.01143,0.98795,0.98857,0.01779
554,0.03702,0.03664,0.96298,0.96336,0.02534
555,-0.00804,-0.00727,0.99196,0.99273,0.00968
556,-0.01589,-0.01406,0.98411,0.98594,0.00995
557,0.02511,0.02233,0.97489,0.97767,0.00862
558,-0.0033,-0.00295,0.9967,0.99705,0.00914
559,0.00372,0.00324,0.99628,0.99676,0.01839
560,-0.0551,-0.04889,0.9449,0.95111,0.0112
561,-0.05462,-0.04853,0.94538,0.95147,0.00994
562,-0.03571,-0.03175,0.96429,0.96825,0.01051
563,0.01165,0.01084,0.98835,0.98916,0.0178
564,0.03468,0.03384,0.96532,0.96616,0.0257
565,0.00015,0.00014,0.99985,0.99986,0.00926
566,-0.0072,-0.00637,0.9928,0.99363,0.0098
567,0.05337,0.05165,0.94663,0.94835,0.02407
568,0.02238,0.01992,0.97762,0.98008,0.00899
569,0.00077,0.00069,0.99923,0.99931,0.01877
570,-0.05256,-0.04652,0.94744,0.95348,0.01123
571,-0.04281,-0.03799,0.95719,0.96201,0.01007
572,-0.02999,-0.02669,0.97001,0.97331,0.01061
573,0.01292,0.01225,0.98708,0.98775,0.01794
574,0.03917,0.03906,0.96083,0.96094,0.02542
575,-0.02879,-0.02653,0.97121,0.97347,0.03606
576,-0.00832,-0.0065,0.99168,0.9935,0.01241
577,-0.05811,-0.05508,0.94189,0.94492,0.02605
578,-0.01501,-0.01181,0.98499,0.98819,0.01244
579,-0.02617,-0.02334,0.97383,0.97666,0.06057
580,-0.04669,-0.03688,0.95331,0.96312,0.01394
581,-0.06308,-0.05078,0.93692,0.94922,0.01379
582,-0.04734,-0.04136,0.95266,0.95864,0.0384
583,-0.03274,-0.0269,0.96726,0.9731,0.01282
584,-0.00402,-0.00318,0.99598,0.99682,0.01238
585,-0.00823,-0.00814,0.99177,0.99186,0.02434
586,-0.04554,-0.03782,0.95446,0.96218,0.02561
587,-0.0085,-0.00771,0.9915,0.99229,0.02384
588,-0.02691,-0.02554,0.97309,0.97446,0.03518
589,-0.01297,-0.01026,0.98703,0.98974,0.01289
590,-0.03179,-0.02563,0.96821,0.97437,0.01252
591,-0.00464,-0.00398,0.99536,0.99602,0.02251
592,-0.00957,-0.00765,0.99043,0.99235,0.0128
593,-0.0136,-0.01067,0.9864,0.98933,0.01282
594,-0.01872,-0.01465,0.98128,0.98535,0.01211
595,-0.02575,-0.02357,0.97425,0.97643,0.04852
596,-0.02218,-0.01741,0.97782,0.98259,0.0142
597,-0.02997,-0.02751,0.97003,0.97249,0.03615
598,-0.008,-0.00624,0.992,0.99376,0.01249
599,-0.05868,-0.05547,0.94132,0.94453,0.02615
600,-0.01531,-0.01201,0.98469,0.98799,0.01252
601,-0.02668,-0.02372,0.97332,0.97628,0.06078
602,-0.04538,-0.03575,0.95462,0.96425,0.01398
603,-0.06029,-0.04841,0.93971,0.95159,0.01383
604,-0.04725,-0.04116,0.95275,0.95884,0.03855
605,-0.02961,-0.02427,0.97039,0.97573,0.01286
606,-0.00496,-0.00391,0.99504,0.99609,0.01243
607,-0.00726,-0.00717,0.99274,0.99283,0.02443
608,-0.04311,-0.03571,0.95689,0.96429,0.0257
609,-0.00783,-0.00708,0.99217,0.99292,0.02393
610,-0.02721,-0.02572,0.97279,0.97428,0.03533
611,-0.01064,-0.0084,0.98936,0.9916,0.01293
612,-0.02884,-0.02321,0.97116,0.97679,0.01257
613,-0.00483,-0.00413,0.99517,0.99587,0.02263
614,-0.00728,-0.00581,0.99272,0.99419,0.01284
615,-0.01326,-0.01038,0.98674,0.9896199999999999,0.01285
616,-0.02,-0.01561,0.98,0.98439,0.01216
617,-0.02647,-0.02416,0.97353,0.97584,0.04875
618,-0.02018,-0.01581,0.97982,0.98419,0.01425
619,-0.00345,-0.00326,0.99655,0.99674,0.02699
620,-0.01225,-0.01063,0.98775,0.98937,0.00999
621,-0.01964,-0.01717,0.98036,0.98283,0.01019
622,-0.07754,-0.06858,0.9224600000000001,0.93142,0.01108
623,0.02506,0.02488,0.97494,0.97512,0.03546
624,-0.01412,-0.01212,0.98588,0.98788,0.02042
625,-0.07246,-0.06379,0.92754,0.93621,0.01178
626,-0.0049,-0.00465,0.9951,0.99535,0.02725
627,-0.01659,-0.01436,0.98341,0.98564,0.01007
628,-0.02176,-0.01897,0.97824,0.98103,0.01031
629,-0.07845,-0.06925,0.92155,0.93075,0.01113
630,0.02185,0.02161,0.97815,0.97839,0.03599
631,-0.01595,-0.01373,0.98405,0.98627,0.02059
632,-0.07449,-0.06538,0.92551,0.93462,0.01181
633,-0.0374,-0.03002,0.9626,0.96998,0.01334
634,-0.02177,-0.01737,0.97823,0.98263,0.01332
